Reporting Date	Sale Month	Store	Artist	Title	ISRC	UPC	Quantity	Team Percentage	Song/Album	Customer Paid	Customer Currency	Country of Sale	Songwriter Royalties Withheld	Earnings (USD)
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	FI	0	0.005790194443
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		30	100	Song	0	EUR	BR	0	0.103637010022
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	DK	0	0.031159787000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		18	100	Song	0	EUR	FI	0	0.125040547961
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		46	100	Song	0	EUR	IT	0	0.010344969004
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		124	100	Song	0	EUR	DE	0	0.658653851584
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		30	100	Song	0	EUR	MX	0	0.025731967523
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		14	100	Song	0	EUR	PH	0	0.000388019963
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	SK	0	0.001515284854
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	VN	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	GR	0	0.004143339601
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		8	100	Song	0	EUR	ID	0	0.000226344978
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		15	100	Song	0	EUR	PL	0	0.001238764881
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	ES	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	IT	0	0.001867624820
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	JO	0	0.000021184998
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		19	100	Song	0	EUR	BR	0	0.028455912260
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	LU	0	0.003731904641
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	AU	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	ES	0	0.025746462521
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	FI	0	0.009441819091
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		19	100	Song	0	EUR	CH	0	0.072115963057
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		11	100	Song	0	EUR	DK	0	0.045644750605
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	EG	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		3	100	Song	0	EUR	ES	0	0.016565553405
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		10	100	Song	0	EUR	PT	0	0.002411744768
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	SA	0	0.001234304881
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CZ	0	0.001644624842
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		67	100	Song	0	EUR	DE	0	0.156957419888
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	IE	0	0.019881563086
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	PE	0	0.003293709683
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	CH	0	0.012775668770
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	JP	0	0.004495679567
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	DK	0	0.046668320507
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		44	100	Song	0	EUR	ES	0	0.233293657538
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		266	100	Song	0	EUR	CA	0	0.597828377440
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	CO	0	0.000970049907
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		2	100	Song	0	EUR	JP	0	0.006798154345
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		6	100	Song	0	EUR	FR	0	0.024370552654
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	MT	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	SK	0	0.003624864651
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		76	100	Song	0	EUR	ES	0	0.192664176450
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		15	100	Song	0	EUR	TW	0	0.043345620827
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		9	100	Song	0	EUR	AU	0	0.017943693272
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		1	100	Song	0	EUR	SG	0	0.000000000000
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		13	100	Song	0	EUR	CO	0	0.006381144386
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		4	100	Song	0	EUR	HK	0	0.009196519115
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		60	100	Song	0	EUR	JP	0	0.011987363846
2019-04-24	2019-02	Spotify	ARTIST	SONG	ISRC		130	100	Song	0	EUR	MX	0	0.023514232736
